n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
3,10,drift adaptive,0.3273726329853357,0.15700558424905947,0.04817863829289501,35,0.1563768339605089,0.5147428571428571,-104.06785828571428
3,10,deferral derived,0.21725413543564068,0.13494662558411236,0.004471917293935131,36,0.26771282663872825,0.5189688888888888,-161.5024711111111
3,10,deferral adaptive,0.3410903693467705,0.14106781994366308,0.003556487607130464,30,0.3008564574695848,0.5141333333333333,-58.090269866666695
3,17,fixed 0.003,0.5489249265849332,0.2611916803729068,0.003,36,0.33974145926366245,0.5175466666666666,-145.8464888888889
3,17,drift derived,0.4754627791966263,0.2584408043908282,0.033271064666877376,36,0.18206824433100882,0.5168355555555555,-141.55155200000002
3,17,drift adaptive,0.5091403202785877,0.2592259327227418,0.048227904077695914,34,0.1832997710726329,0.5162917647058823,-94.82989176470588
3,17,deferral derived,0.5420445141675306,0.26353405041655614,0.004471917293935131,36,0.274933441829997,0.5175466666666666,-150.10428444444446
3,17,deferral adaptive,0.33562178816932386,0.22048542481749106,0.004807859022248349,29,0.3071526440034314,0.5132800000000001,-56.45933020689656
3,16,fixed 0.003,0.36702982621848623,0.286982862557618,0.003,36,0.2597285833132591,0.5189688888888889,-75.20179555555556
3,16,drift derived,0.307731021520715,0.20034218446689556,0.033271064666877376,36,0.14700313683140198,0.5161244444444445,-140.8939768888889
3,16,drift adaptive,0.2698851316409397,0.2564125143596216,0.04530688958010793,32,0.15024124121604215,0.51488,-105.520148
3,16,deferral derived,0.331336403789398,0.28374630725419964,0.004471917293935131,36,0.2031896880207077,0.5203911111111111,-101.23048177777777
3,16,deferral adaptive,0.3455739468253339,0.164400293056887,0.003654639181906181,30,0.2859028919685896,0.5166933333333333,-74.69502293333335
3,19,fixed 0.003,0.357714197059432,0.1555860640178922,0.003,36,0.40521365030040324,0.5147022222222222,-55.31162666666668
3,19,drift derived,0.4824911364907778,0.1933147798678393,0.033271064666877376,36,0.2813666590250321,0.5147022222222222,-113.991424
3,19,drift adaptive,0.4881059979812763,0.18748484346833907,0.05623503415921987,34,0.33613535441493453,0.5147858823529411,-63.17590211764708
3,19,deferral derived,0.3438088425426047,0.16527323619377668,0.004471917293935131,36,0.3379914886041232,0.5147022222222222,-70.8497351111111
3,19,deferral adaptive,0.45676127567514474,0.23060391179924283,0.0035872630018975765,30,0.31258442386334845,0.5132800000000001,-66.46179413333336
3,18,fixed 0.003,1.1929437547285293,0.7833641531059643,0.003,36,0.24882359185783073,0.5175466666666666,-111.99309511111109
3,18,drift derived,1.2019923651111604,0.9150299820447635,0.033271064666877376,36,0.0884091839547467,0.5161244444444444,-142.42189511111113
3,18,drift adaptive,1.250770947559503,0.886874927166027,0.04338411448441957,32,0.09623860267414108,0.51568,-88.66847200000001
3,18,deferral derived,1.085099941360833,0.7667770833646305,0.004471917293935131,36,0.221757355956801,0.5168355555555555,-118.23989688888888
3,18,deferral adaptive,1.0947979247745352,0.8700626965209904,0.004173107097200361,29,0.22268372537923906,0.5150455172413794,-71.44105048275863
3,21,fixed 0.003,0.7270293753570529,0.1463912160161851,0.003,36,0.377499891232141,0.5189688888888888,-121.47521422222225
3,21,drift derived,0.49057103260462287,0.1703251067316837,0.033271064666877376,36,0.23485024529259016,0.5161244444444445,-137.59612800000002
3,21,drift adaptive,0.47852506683361323,0.2044428397570029,0.04705035714881,31,0.2809508800521244,0.5157574193548387,-74.22560619354839
3,21,deferral derived,0.4908052573362973,0.13444332005997695,0.004471917293935131,36,0.3212482850882614,0.5196799999999999,-109.940768
3,21,deferral adaptive,0.46698157835224224,0.15833696181520845,2.0,28,0.5688542690095498,0.5151085714285715,0.383446857142845
3,20,fixed 0.003,0.537686660557057,0.2421479976464942,0.003,36,0.28053922861180003,0.5196799999999999,-109.69452088888892
3,20,drift derived,0.5925015684949989,0.2016022166337197,0.033271064666877376,36,0.18499002674573659,0.5147022222222223,-119.39293866666668
3,20,drift adaptive,0.5945250719513184,0.2002182481395305,0.05053593887120007,34,0.18321191025480096,0.5147858823529412,-70.05377505882353
3,20,deferral derived,0.5816890745800095,0.237619019698914,0.004471917293935131,36,0.2202514753790049,0.520391111111111,-129.69796622222222
3,20,deferral adaptive,0.6821372898463041,0.22164724213333858,2.0,28,0.43895789618987235,0.5141942857142857,-1.0987738496837096e-14
3,23,fixed 0.003,0.40587057177195107,0.2019396573003797,0.003,36,0.4116509213942137,0.5196799999999999,-137.78436622222222
3,23,drift derived,0.830773492462832,0.2410004670787332,0.033271064666877376,36,0.2476704702367932,0.5161244444444445,-131.0615786666667
