n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
2,22,drift derived,0.489328095023298,0.2436904770715872,0.033271064666877376,47,0.15193060208220194,0.6772266666666668,-73.04373651063833
2,22,drift adaptive,0.345936467329204,0.17076927106203113,0.061448346525178096,39,0.22962430432640957,0.6757973333333339,-5.6207524102564275
2,22,deferral derived,0.31950614873661515,0.21196831650676526,0.004471917293935131,48,0.2510320513527315,0.6957511111111111,-31.874743999999996
2,22,deferral adaptive,0.47348829575873463,0.3073491929013198,2.0,20,0.20913433452542884,0.38305185185185203,1.036825599999991
2,23,fixed 0.003,0.31460163846166767,0.28611216933845146,0.003,48,0.31143999746725515,0.6936177777777777,-0.2218986666667225
2,23,drift derived,0.507360606941562,0.18835579264281677,0.033271064666877376,46,0.18712277533071503,0.6940197101449275,-85.35756800000004
2,23,drift adaptive,0.4927779800951454,0.20739201208452107,0.052114601929268214,38,0.2695694725990148,0.6924575438596496,-18.271164631578966
2,23,deferral derived,0.31983755435044464,0.23308857434563454,0.004471917293935131,48,0.2764619652155161,0.6936177777777777,-44.39388533333335
2,23,deferral adaptive,0.26076659685253234,0.17484957720748845,0.006666862782833279,36,0.36499008204139577,0.6564378947368426,-18.44985600000002
2,24,fixed 0.003,0.2065593878991901,0.17465277099194396,0.003,48,0.41544064640203393,0.6936177777777778,4.949162666666656
2,24,drift derived,0.27206484037258105,0.15358347919918636,0.033271064666877376,47,0.3361543936857386,0.6758044444444445,-79.3844725106383
2,24,drift adaptive,0.29534475399801585,0.1780174464530493,0.07698849748167162,43,0.49098437505753695,0.6734739393939396,-23.71096706976746
2,24,deferral derived,0.22674953756875335,0.17127808593748137,0.004471917293935131,48,0.38404444742296057,0.6921955555555556,-41.14414666666668
2,24,deferral adaptive,0.40366265076794694,0.1786353310848908,1.6938645693195233,26,0.609887807170955,0.5018548148148151,3.492775384615375
2,25,fixed 0.003,0.42397994878565204,0.19608905046596053,0.003,48,0.4114625652786759,0.6900622222222222,-23.5204026666667
2,25,drift derived,0.498249964111134,0.1831606060810343,0.033271064666877376,47,0.26266390442762616,0.6729600000000001,-68.6600551489362
2,25,drift adaptive,0.5661468475864043,0.20884399209485044,0.05917752921789507,34,0.42816878221966476,0.6501451851851857,-8.28717929411766
2,25,deferral derived,0.3927886209721624,0.1736476508911029,0.004471917293935131,48,0.35432079791922116,0.68864,-27.970789333333318
2,25,deferral adaptive,0.9161527802309264,0.21611824018824533,2.0,22,0.3038687095527196,0.4182281481481484,0.7895621818181717
2,26,fixed 0.003,0.37293466096714334,0.15449566202690043,0.003,48,0.44257152211735235,0.6907733333333334,-7.839757333333355
