relative_path,filename,session,policy,robot,file_type,size_bytes,sha256,validation_status
HWS-121-BACSPLUS/logs/candidates_limo01.csv,candidates_limo01.csv,support,,limo01,csv,89012,d68f241b06fb24ac96c5c66c31caadd1cedb939c5330a3f7a6641af9f6500268,VALID
HWS-121-BACSPLUS/logs/candidates_limo02.csv,candidates_limo02.csv,support,,limo02,csv,89017,b6392a28933dadec217de3bee2decbddce657cba0f9589ceb0dde084f236cb18,VALID
HWS-121-BACSPLUS/logs/clock_limo01_end.txt,clock_limo01_end.txt,support,,limo01,txt,19,d6420932ab45aec3127b749aa31664c7862968c715c09ccd1a6c81c4a09ebf93,VALID
HWS-121-BACSPLUS/logs/clock_limo01_start.txt,clock_limo01_start.txt,support,,limo01,txt,18,3054da087ce88c2afae42520e33cda5f79f7f9ad6724178ad007b1e15828783b,VALID
HWS-121-BACSPLUS/logs/clock_limo02_end.txt,clock_limo02_end.txt,support,,limo02,txt,18,1ade7f1f809005535f9320ba33db9d2908f3af54865f9154b4a121053974d9c0,VALID
HWS-121-BACSPLUS/logs/clock_limo02_start.txt,clock_limo02_start.txt,support,,limo02,txt,18,cde817e78349ee4b940fe9e233331c5c0f2ffe7db51e87bd0030f22a2ae1dc6a,VALID
HWS-121-BACSPLUS/logs/received_server.csv,received_server.csv,support,,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-121-BACSPLUS/logs/serial_limo01.csv,serial_limo01.csv,support,,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-121-BACSPLUS/logs/serial_limo02.csv,serial_limo02.csv,support,,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-121-BACSPLUS/logs/serial_server.csv,serial_server.csv,support,,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-122-FIFO/fused_HWS-122-FIFO.csv,fused_HWS-122-FIFO.csv,HWS-122-FIFO,FIFO,,csv,1324182,22901ae3cdd26ca7536301457a18b47a2f08fb93d6465a93f3fcb49c020fa0c1,VALID
HWS-122-FIFO/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-122-FIFO,FIFO,limo01,csv,89016,38875a3c69d9d27cd9f712c089a8cfeafd2c4f9053ed73a4077897471ad551b5,VALID
HWS-122-FIFO/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-122-FIFO,FIFO,limo02,csv,89008,76850a515498967fb5b4b2feae90f066a06d9113f40c3dd388d30b7a9986920e,VALID
