seed,robots,policy,temporal_decay,candidates,selected,mean_information
24,4,BACS+,True,240,5,0.9373002202043381
24,5,FIFO,True,240,5,0.5004839916621677
24,5,BACS,True,240,5,0.958316518245112
24,5,BACS+,True,240,5,0.9373002202043381
25,2,FIFO,True,240,5,0.32850366339367776
25,2,BACS,True,240,5,0.8792619645702654
25,2,BACS+,True,240,5,0.8737128589289765
25,3,FIFO,True,240,5,0.32850366339367776
25,3,BACS,True,240,5,0.8792619645702654
25,3,BACS+,True,240,5,0.8737128589289765
25,4,FIFO,True,240,5,0.32850366339367776
25,4,BACS,True,240,5,0.8792619645702654
25,4,BACS+,True,240,5,0.8737128589289765
25,5,FIFO,True,240,5,0.32850366339367776
25,5,BACS,True,240,5,0.8792619645702654
25,5,BACS+,True,240,5,0.8737128589289765
26,2,FIFO,True,240,5,0.514619512183351
26,2,BACS,True,240,5,0.9005368396826967
26,2,BACS+,True,240,5,0.8894511307523636
26,3,FIFO,True,240,5,0.514619512183351
26,3,BACS,True,240,5,0.9005368396826967
26,3,BACS+,True,240,5,0.8894511307523636
26,4,FIFO,True,240,5,0.514619512183351
26,4,BACS,True,240,5,0.9005368396826967
26,4,BACS+,True,240,5,0.8894511307523636
26,5,FIFO,True,240,5,0.514619512183351
26,5,BACS,True,240,5,0.9005368396826967
26,5,BACS+,True,240,5,0.8894511307523636
27,2,FIFO,True,240,5,0.4954961695712594
27,2,BACS,True,240,5,0.9404142663321512
27,2,BACS+,True,240,5,0.9215953511933888
27,3,FIFO,True,240,5,0.4954961695712594
27,3,BACS,True,240,5,0.9404142663321512
27,3,BACS+,True,240,5,0.9215953511933888
27,4,FIFO,True,240,5,0.4954961695712594
27,4,BACS,True,240,5,0.9404142663321512
27,4,BACS+,True,240,5,0.9215953511933888
27,5,FIFO,True,240,5,0.4954961695712594
27,5,BACS,True,240,5,0.9404142663321512
27,5,BACS+,True,240,5,0.9215953511933888
28,2,FIFO,True,240,5,0.5113461182715675
28,2,BACS,True,240,5,0.9103112776519152
28,2,BACS+,True,240,5,0.9042466453541177
28,3,FIFO,True,240,5,0.5113461182715675
28,3,BACS,True,240,5,0.9103112776519152
28,3,BACS+,True,240,5,0.9042466453541177
28,4,FIFO,True,240,5,0.5113461182715675
28,4,BACS,True,240,5,0.9103112776519152
28,4,BACS+,True,240,5,0.9042466453541177
28,5,FIFO,True,240,5,0.5113461182715675
28,5,BACS,True,240,5,0.9103112776519152
28,5,BACS+,True,240,5,0.9042466453541177
29,2,FIFO,True,240,5,0.3231462610756653
29,2,BACS,True,240,5,0.8706817995258582
29,2,BACS+,True,240,5,0.8751921496689491
29,3,FIFO,True,240,5,0.3231462610756653
29,3,BACS,True,240,5,0.8706817995258582
29,3,BACS+,True,240,5,0.8751921496689491
29,4,FIFO,True,240,5,0.3231462610756653
29,4,BACS,True,240,5,0.8706817995258582
29,4,BACS+,True,240,5,0.8751921496689491
29,5,FIFO,True,240,5,0.3231462610756653
29,5,BACS,True,240,5,0.8706817995258582
29,5,BACS+,True,240,5,0.8751921496689491
30,2,FIFO,True,240,5,0.5457990954762282
30,2,BACS,True,240,5,0.9550868295607617
30,2,BACS+,True,240,5,0.926347658075205
30,3,FIFO,True,240,5,0.5457990954762282
30,3,BACS,True,240,5,0.9550868295607617
30,3,BACS+,True,240,5,0.926347658075205
30,4,FIFO,True,240,5,0.5457990954762282
30,4,BACS,True,240,5,0.9550868295607617
30,4,BACS+,True,240,5,0.926347658075205
30,5,FIFO,True,240,5,0.5457990954762282
30,5,BACS,True,240,5,0.9550868295607617
30,5,BACS+,True,240,5,0.926347658075205
31,2,FIFO,True,240,5,0.498752419549885
31,2,BACS,True,240,5,0.9272065621144214
