seed,n_robots,w_obs,obs_ref,gamma_rule,variant,align_rmse,pose_rmse,n_delivered,frozen_plus_0.60_5,frozen_plus_0.30_6,matches_frozen_0.60_5,matches_frozen_0.30_6
11,3,0.6,10,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,3,deferral_derived,current,0.16429205097046093,0.2366206298683057,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,4,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,5,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,6,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,8,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.75,10,deferral_derived,current,0.184715308158882,0.22386446737080035,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.9,3,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.9,4,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.9,5,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.9,6,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.9,8,deferral_derived,current,0.2536021929275199,0.2687022399317614,24,0.2536021929275199,0.1674037411985398,True,False
11,3,0.9,10,deferral_derived,current,0.25366551462150894,0.2702943434977351,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,3,deferral_derived,current,0.17459781419698947,0.233176342976317,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,4,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,5,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,6,deferral_derived,current,0.184715308158882,0.22386446737080035,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,8,deferral_derived,current,0.25366551462150894,0.2702943434977351,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.0,10,deferral_derived,current,0.25366551462150894,0.2702943434977351,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.2,3,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.2,4,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.2,5,deferral_derived,current,0.24460000618950273,0.2749531437688853,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.2,6,deferral_derived,current,0.2536021929275199,0.2687022399317614,24,0.2536021929275199,0.1674037411985398,True,False
11,3,1.2,8,deferral_derived,current,0.25366551462150894,0.2702943434977351,24,0.2536021929275199,0.1674037411985398,False,False
11,3,1.2,10,deferral_derived,current,0.2547209284325751,0.2735049105183042,24,0.2536021929275199,0.1674037411985398,False,False
